[[4, 3], [8, 0], [15, 7], [14, 16], [17, 18], [10, 21], [6, 23], [24, 12], [9, 25], [27, 20], [26, 28], [2, 29], [5, 30], [1, 31], [13, 32], [11, 33], [34, 19], [35, 22], [4, 3], [8, 0], [15, 7], [14, 16], [17, 18], [10, 21], [6, 23], [24, 12], [9, 25], [27, 20], [26, 28], [2, 29], [5, 30], [1, 31], [13, 32], [11, 33], [34, 19], [35, 22], [4, 3], [8, 0], [15, 7], [14, 16], [17, 18], [10, 21], [6, 23], [24, 12], [9, 25], [27, 20], [26, 28], [2, 29], [5, 30], [1, 31], [13, 32], [11, 33], [34, 19], [35, 22], [14, 8], [18, 0], [15, 10], [6, 21], [17, 23], [16, 12], [7, 24], [2, 5], [29, 30], [1, 4], [27, 31], [26, 13], [28, 32], [9, 33], [19, 20], [34, 11], [22, 25], [35, 3]]
[[26, 17], [27, 11], [6, 23], [25, 0], [28, 1], [10, 13], [32, 7], [30, 5], [15, 12], [4, 16], [29, 21], [33, 22], [34, 18], [3, 8], [19, 9], [2, 24], [31, 14], [20, 35], [26, 11], [1, 25], [0, 28], [23, 13], [30, 32], [12, 4], [29, 7], [18, 17], [3, 6], [16, 8], [9, 15], [21, 19], [10, 2], [24, 27], [5, 14], [34, 31], [33, 20], [22, 35], [26, 11], [1, 25], [0, 28], [23, 13], [30, 32], [12, 4], [29, 7], [18, 17], [3, 6], [16, 8], [9, 15], [21, 19], [10, 2], [24, 27], [5, 14], [34, 31], [33, 20], [22, 35], [26, 11], [1, 25], [0, 28], [23, 13], [30, 32], [12, 4], [29, 7], [18, 17], [3, 6], [16, 8], [9, 15], [21, 19], [10, 2], [24, 27], [5, 14], [34, 31], [33, 20], [22, 35]]
[[0, 28], [18, 26], [3, 23], [13, 6], [8, 30], [19, 11], [25, 9], [10, 12], [17, 24], [5, 16], [21, 14], [32, 27], [31, 4], [7, 34], [20, 29], [15, 33], [22, 1], [35, 2], [0, 28], [18, 26], [13, 6], [19, 11], [3, 23], [25, 9], [8, 30], [10, 12], [17, 24], [5, 16], [21, 14], [32, 27], [31, 4], [7, 34], [20, 29], [15, 33], [22, 1], [35, 2], [0, 28], [18, 26], [13, 6], [19, 11], [3, 23], [25, 9], [8, 30], [10, 12], [17, 24], [5, 16], [21, 14], [32, 27], [31, 4], [7, 34], [20, 29], [15, 33], [22, 1], [35, 2], [0, 25], [8, 9], [24, 17], [18, 5], [11, 14], [21, 13], [28, 27], [31, 12], [6, 7], [34, 4], [20, 19], [29, 32], [16, 15], [23, 33], [1, 30], [26, 22], [2, 3], [35, 10]]
[[0, 25], [8, 9], [24, 17], [18, 5], [11, 14], [21, 13], [28, 27], [31, 12], [6, 7], [34, 4], [20, 19], [29, 32], [16, 15], [23, 33], [26, 22], [1, 30], [2, 3], [35, 10], [0, 25], [8, 9], [24, 17], [18, 5], [11, 14], [21, 13], [28, 27], [31, 12], [6, 7], [34, 4], [20, 19], [29, 32], [16, 15], [23, 33], [26, 22], [1, 30], [2, 3], [35, 10], [18, 25], [11, 27], [9, 12], [6, 21], [24, 7], [34, 5], [4, 20], [8, 29], [32, 16], [23, 15], [22, 28], [14, 26], [30, 13], [31, 1], [19, 3], [33, 2], [17, 10], [0, 35], [18, 25], [11, 27], [9, 12], [6, 21], [24, 7], [34, 5], [4, 20], [8, 29], [32, 16], [23, 15], [14, 26], [22, 28], [30, 13], [31, 1], [19, 3], [33, 2], [17, 10], [0, 35]]
[[18, 25], [11, 27], [9, 12], [6, 21], [24, 7], [34, 5], [4, 20], [8, 29], [32, 16], [23, 15], [14, 26], [22, 28], [30, 13], [31, 1], [19, 3], [33, 2], [17, 10], [0, 35], [27, 25], [12, 9], [8, 4], [11, 32], [15, 14], [7, 26], [20, 28], [23, 13], [18, 30], [24, 31], [3, 16], [19, 34], [5, 2], [33, 6], [17, 1], [29, 10], [0, 22], [21, 35], [27, 25], [12, 9], [8, 4], [11, 32], [15, 14], [7, 26], [20, 28], [23, 13], [18, 30], [24, 31], [3, 16], [5, 2], [33, 6], [19, 34], [17, 1], [29, 10], [0, 22], [21, 35], [27, 25], [12, 9], [8, 4], [11, 32], [15, 14], [7, 26], [20, 28], [23, 13], [18, 30], [24, 31], [3, 16], [5, 2], [33, 6], [19, 34], [17, 1], [29, 10], [0, 22], [21, 35]]
[[11, 8], [9, 15], [7, 12], [23, 14], [25, 18], [16, 26], [24, 3], [2, 4], [5, 31], [33, 30], [19, 27], [34, 20], [13, 1], [28, 17], [29, 6], [22, 10], [21, 32], [0, 35], [11, 8], [9, 15], [7, 12], [23, 14], [25, 18], [24, 3], [16, 26], [2, 4], [5, 31], [33, 30], [19, 27], [34, 20], [13, 1], [28, 17], [29, 6], [22, 10], [21, 32], [0, 35], [11, 8], [9, 15], [7, 12], [23, 14], [25, 18], [24, 3], [16, 26], [2, 4], [5, 31], [33, 30], [19, 27], [34, 20], [13, 1], [28, 17], [29, 6], [22, 10], [21, 32], [0, 35], [4, 23], [18, 5], [24, 31], [30, 26], [33, 14], [20, 9], [34, 2], [1, 15], [13, 11], [17, 19], [28, 8], [6, 7], [3, 29], [10, 27], [22, 12], [21, 32], [25, 0], [35, 16]]
[[4, 23], [18, 5], [24, 31], [30, 26], [33, 14], [20, 9], [34, 2], [13, 11], [1, 15], [17, 19], [28, 8], [6, 7], [3, 29], [22, 12], [10, 27], [21, 32], [25, 0], [35, 16], [4, 23], [18, 5], [24, 31], [30, 26], [33, 14], [20, 9], [34, 2], [13, 11], [1, 15], [17, 19], [28, 8], [6, 7], [3, 29], [22, 12], [10, 27], [21, 32], [25, 0], [35, 16], [26, 5], [31, 20], [14, 2], [13, 17], [19, 18], [6, 33], [7, 11], [29, 34], [30, 15], [12, 9], [23, 22], [10, 3], [8, 27], [21, 24], [28, 32], [0, 25], [1, 16], [4, 35], [26, 5], [31, 20], [14, 2], [13, 17], [19, 18], [7, 11], [30, 15], [6, 33], [29, 34], [12, 9], [23, 22], [10, 3], [8, 27], [21, 24], [28, 32], [0, 25], [1, 16], [4, 35]]
[[26, 5], [31, 20], [14, 2], [13, 17], [19, 18], [7, 11], [30, 15], [6, 33], [29, 34], [12, 9], [23, 22], [10, 3], [8, 27], [21, 24], [28, 32], [0, 25], [1, 16], [4, 35], [20, 5], [15, 13], [11, 33], [29, 19], [34, 18], [12, 7], [23, 3], [22, 8], [21, 17], [26, 24], [28, 10], [32, 9], [25, 27], [31, 0], [1, 6], [16, 2], [14, 4], [35, 30], [20, 5], [15, 13], [11, 33], [29, 19], [34, 18], [12, 7], [23, 3], [22, 8], [21, 17], [26, 24], [28, 10], [32, 9], [25, 27], [31, 0], [1, 6], [16, 2], [14, 4], [35, 30], [20, 5], [15, 13], [11, 33], [29, 19], [34, 18], [12, 7], [23, 3], [22, 8], [21, 17], [26, 24], [28, 10], [32, 9], [25, 27], [31, 0], [1, 6], [16, 2], [14, 4], [35, 30]]
[[15, 13], [3, 11], [22, 23], [12, 17], [20, 21], [24, 29], [7, 26], [9, 34], [27, 28], [32, 25], [0, 1], [6, 31], [10, 2], [16, 19], [14, 18], [33, 4], [30, 5], [8, 35], [15, 13], [3, 11], [22, 23], [12, 17], [20, 21], [7, 26], [24, 29], [9, 34], [27, 28], [32, 25], [0, 1], [10, 2], [16, 19], [6, 31], [14, 18], [33, 4], [30, 5], [8, 35], [15, 13], [3, 11], [22, 23], [12, 17], [20, 21], [7, 26], [24, 29], [9, 34], [27, 28], [32, 25], [0, 1], [10, 2], [16, 19], [6, 31], [14, 18], [33, 4], [30, 5], [8, 35], [13, 7], [20, 9], [21, 28], [29, 25], [1, 15], [3, 10], [19, 17], [22, 16], [31, 12], [32, 6], [14, 27], [18, 2], [24, 4], [33, 26], [23, 5], [30, 0], [8, 34], [35, 11]]
[[13, 7], [20, 9], [21, 28], [29, 25], [1, 15], [3, 10], [19, 17], [22, 16], [31, 12], [32, 6], [18, 2], [14, 27], [24, 4], [33, 26], [23, 5], [30, 0], [8, 34], [35, 11], [13, 7], [20, 9], [21, 28], [29, 25], [1, 15], [3, 10], [19, 17], [22, 16], [31, 12], [32, 6], [18, 2], [14, 27], [24, 4], [33, 26], [23, 5], [30, 0], [8, 34], [35, 11], [28, 29], [10, 25], [17, 13], [12, 9], [6, 20], [21, 32], [7, 2], [18, 14], [22, 4], [3, 24], [26, 1], [19, 33], [0, 15], [31, 23], [8, 30], [16, 34], [11, 27], [35, 5], [28, 29], [17, 13], [10, 25], [12, 9], [6, 20], [21, 32], [7, 2], [18, 14], [22, 4], [3, 24], [26, 1], [19, 33], [0, 15], [31, 23], [8, 30], [16, 34], [11, 27], [35, 5]]
[[28, 29], [17, 13], [10, 25], [12, 9], [6, 20], [21, 32], [7, 2], [18, 14], [22, 4], [3, 24], [26, 1], [19, 33], [0, 15], [31, 23], [8, 30], [16, 34], [11, 27], [35, 5], [28, 29], [12, 25], [6, 21], [2, 32], [17, 22], [10, 24], [14, 1], [18, 19], [13, 0], [15, 26], [20, 23], [8, 30], [16, 9], [3, 34], [4, 11], [27, 7], [5, 33], [31, 35], [28, 29], [12, 25], [6, 21], [2, 32], [17, 22], [10, 24], [14, 1], [18, 19], [13, 0], [15, 26], [20, 23], [8, 30], [16, 9], [3, 34], [4, 11], [27, 7], [5, 33], [31, 35], [28, 29], [12, 25], [6, 21], [2, 32], [17, 22], [10, 24], [14, 1], [18, 19], [13, 0], [15, 26], [20, 23], [8, 30], [16, 9], [3, 34], [4, 11], [27, 7], [5, 33], [31, 35]]
[[25, 12], [28, 2], [17, 6], [24, 29], [22, 18], [19, 13], [15, 10], [26, 21], [23, 32], [9, 1], [20, 34], [3, 4], [11, 16], [7, 8], [27, 5], [0, 33], [31, 30], [14, 35], [25, 12], [28, 2], [17, 6], [24, 29], [22, 18], [19, 13], [15, 10], [26, 21], [23, 32], [9, 1], [20, 34], [3, 4], [11, 16], [7, 8], [27, 5], [0, 33], [31, 30], [14, 35], [25, 12], [28, 2], [17, 6], [24, 29], [22, 18], [19, 13], [15, 10], [26, 21], [23, 32], [9, 1], [20, 34], [3, 4], [11, 16], [7, 8], [27, 5], [0, 33], [31, 30], [14, 35], [2, 24], [26, 28], [12, 23], [32, 18], [1, 10], [9, 22], [4, 15], [6, 16], [25, 11], [7, 3], [17, 8], [27, 29], [0, 20], [33, 5], [13, 30], [31, 19], [21, 14], [35, 34]]
[[2, 24], [26, 28], [12, 23], [32, 18], [1, 10], [9, 22], [4, 15], [6, 16], [25, 11], [7, 3], [17, 8], [27, 29], [0, 20], [33, 5], [13, 30], [31, 19], [21, 14], [35, 34], [2, 24], [26, 28], [12, 23], [32, 18], [1, 10], [9, 22], [4, 15], [6, 16], [25, 11], [7, 3], [17, 8], [27, 29], [0, 20], [33, 5], [13, 30], [31, 19], [21, 14], [35, 34], [23, 26], [9, 15], [6, 28], [2, 16], [1, 11], [25, 4], [18, 8], [29, 24], [12, 0], [27, 20], [17, 33], [30, 7], [10, 19], [32, 13], [5, 21], [22, 14], [31, 34], [35, 3], [23, 26], [9, 15], [2, 16], [1, 11], [25, 4], [18, 8], [6, 28], [29, 24], [12, 0], [27, 20], [17, 33], [30, 7], [10, 19], [32, 13], [5, 21], [22, 14], [31, 34], [35, 3]]
[[23, 26], [9, 15], [2, 16], [1, 11], [25, 4], [18, 8], [6, 28], [29, 24], [12, 0], [27, 20], [17, 33], [30, 7], [10, 19], [32, 13], [5, 21], [22, 14], [31, 34], [35, 3], [25, 1], [8, 18], [6, 4], [23, 28], [24, 29], [12, 0], [11, 30], [15, 10], [19, 20], [32, 2], [13, 5], [21, 16], [22, 7], [33, 14], [26, 31], [17, 34], [3, 27], [9, 35], [25, 1], [8, 18], [6, 4], [23, 28], [24, 29], [12, 0], [11, 30], [15, 10], [19, 20], [32, 2], [13, 5], [21, 16], [22, 7], [33, 14], [26, 31], [17, 34], [3, 27], [9, 35], [25, 1], [8, 18], [6, 4], [23, 28], [24, 29], [12, 0], [11, 30], [15, 10], [19, 20], [32, 2], [13, 5], [21, 16], [22, 7], [33, 14], [26, 31], [17, 34], [3, 27], [9, 35]]
[[1, 23], [18, 28], [25, 29], [8, 12], [24, 15], [11, 2], [13, 19], [22, 16], [30, 21], [14, 10], [5, 33], [20, 31], [0, 17], [4, 34], [3, 7], [32, 27], [9, 6], [26, 35], [1, 23], [18, 28], [25, 29], [8, 12], [24, 15], [11, 2], [13, 19], [22, 16], [30, 21], [14, 10], [5, 33], [20, 31], [0, 17], [4, 34], [3, 7], [32, 27], [9, 6], [26, 35], [1, 23], [18, 28], [25, 29], [8, 12], [24, 15], [11, 2], [13, 19], [22, 16], [30, 21], [14, 10], [5, 33], [20, 31], [0, 17], [4, 34], [3, 7], [32, 27], [9, 6], [26, 35], [18, 29], [12, 8], [24, 11], [1, 10], [23, 20], [31, 25], [5, 0], [17, 13], [4, 16], [22, 34], [14, 3], [19, 7], [15, 27], [32, 33], [6, 21], [28, 9], [26, 30], [2, 35]]
[[18, 29], [12, 8], [24, 11], [1, 10], [23, 20], [31, 25], [5, 0], [17, 13], [4, 16], [22, 34], [14, 3], [19, 7], [15, 27], [32, 33], [6, 21], [28, 9], [26, 30], [2, 35], [18, 29], [12, 8], [24, 11], [1, 10], [23, 20], [31, 25], [5, 0], [17, 13], [4, 16], [22, 34], [14, 3], [19, 7], [15, 27], [32, 33], [6, 21], [28, 9], [26, 30], [2, 35], [29, 20], [1, 31], [0, 13], [4, 24], [11, 22], [16, 34], [3, 7], [17, 19], [12, 15], [32, 5], [33, 14], [18, 6], [8, 21], [9, 25], [23, 28], [27, 30], [26, 2], [10, 35], [29, 20], [1, 31], [0, 13], [4, 24], [11, 22], [16, 34], [3, 7], [17, 19], [12, 15], [32, 5], [33, 14], [18, 6], [8, 21], [9, 25], [23, 28], [27, 30], [26, 2], [10, 35]]
[[29, 20], [1, 31], [0, 13], [4, 24], [11, 22], [16, 34], [3, 7], [17, 19], [12, 15], [32, 5], [33, 14], [18, 6], [8, 21], [9, 25], [23, 28], [27, 30], [26, 2], [10, 35], [22, 16], [0, 3], [7, 34], [13, 12], [20, 15], [5, 4], [6, 1], [25, 32], [28, 14], [29, 23], [31, 21], [33, 8], [18, 27], [30, 9], [2, 24], [17, 26], [19, 10], [11, 35], [22, 16], [0, 3], [13, 12], [20, 15], [5, 4], [7, 34], [6, 1], [28, 14], [29, 23], [31, 21], [25, 32], [33, 8], [18, 27], [30, 9], [2, 24], [17, 26], [19, 10], [11, 35], [22, 16], [0, 3], [13, 12], [20, 15], [5, 4], [7, 34], [6, 1], [28, 14], [29, 23], [31, 21], [25, 32], [33, 8], [18, 27], [30, 9], [2, 24], [17, 26], [19, 10], [11, 35]]
